Country,GDP ,Region,Development ,OECD_Membership
AUS,693000000000.00,East Asia & Pacific,High Income ,OECD
AUT,316000000000.00,Europe & Central Asia,High Income ,OECD
BEL,386000000000.00,Europe & Central Asia,High Income ,OECD
BGR,29636617750.00,Europe & Central Asia,Low Middle Income ,Non-OECD
BRA,892000000000.00,Latin America & Caribbean,Low Middle Income ,Non-OECD
CAN,1170000000000.00,North America,High Income ,OECD
CHE,408700000000.00,Europe & Central Asia,High Income ,OECD
CHN,2290000000000.00,East Asia & Pacific,Low Middle Income ,Non-OECD
CYP,18433411267.00,Europe & Central Asia,High Income ,Non-OECD
CZE,136000000000.00,Europe & Central Asia,Upper Middle Income,OECD
DEU,2850000000000.00,Europe & Central Asia,High Income ,OECD
DNK,264000000000.00,Europe & Central Asia,High Income ,OECD
ESP,1150000000000.00,Europe & Central Asia,High Income ,OECD
EST,14098326328.00,Europe & Central Asia,Upper Middle Income,Non-OECD
FIN,205000000000.00,Europe & Central Asia,High Income ,OECD
FRA,2200000000000.00,Europe & Central Asia,High Income ,OECD
GBR,2540000000000.00,Europe & Central Asia,High Income ,OECD
GRC,248000000000.00,Europe & Central Asia,High Income ,OECD
HRV,112981000000.00,Europe & Central Asia,Upper Middle Income,Non-OECD
HUN,113000000000.00,Europe & Central Asia,Upper Middle Income,OECD
IDN,286000000000.00,East Asia & Pacific,Low Income,Non-OECD
IND,820000000000.00,South Asia,Low Middle Income ,Non-OECD
IRL,212000000000.00,Europe & Central Asia,High Income ,OECD
ITA,1860000000000.00,Europe & Central Asia,High Income ,OECD
JPN,4760000000000.00,East Asia & Pacific,High Income ,OECD
KOR,898000000000.00,East Asia & Pacific,High Income ,Non-OECD
LTU,26125575942.00,Europe & Central Asia,Upper Middle Income,Non-OECD
LUX,37347394603.00,Europe & Central Asia,High Income ,OECD
LVA,16909366521.00,Europe & Central Asia,Upper Middle Income,Non-OECD
MEX,877000000000.00,Latin America & Caribbean,Upper Middle Income,OECD
MLT,6394851387.00,Middle East & North Africa,High Income ,Non-OECD
NLD,685000000000.00,Europe & Central Asia,High Income ,OECD
NOR,309000000000.00,Europe & Central Asia,High Income ,OECD
POL,306000000000.00,Europe & Central Asia,Upper Middle Income,OECD
PRT,197000000000.00,Europe & Central Asia,High Income ,OECD
ROM,98452791983.00,Europe & Central Asia,Upper Middle Income,Non-OECD
ROU,98452791983.00,Europe & Central Asia,Upper Middle Income,Non-OECD
RUS,764000000000.00,Europe & Central Asia,Upper Middle Income,Non-OECD
SVK,62785305310.00,Europe & Central Asia,Upper Middle Income,OECD
SVN,36206396344.00,Europe & Central Asia,High Income ,Non-OECD
SWE,390000000000.00,Europe & Central Asia,High Income ,OECD
TUR,501000000000.00,Europe & Central Asia,Upper Middle Income,OECD
TWN,531000000000.00,East Asia & Pacific,High Income ,Non-OECD
USA,13000000000000.00,North America,High Income ,OECD
ROW,4450000000000.00,Rest of the World,Low Middle Income ,Non-OECD
