"","year","Country","Country.GDP","Region","Country.Scaled.GDP","in.degree","out.degree","degree","betweeness","eigenvector.cent","katz.cent","hub.level","authority.level","community"
"1",1995,"AUS",3.67e+11,"East Asia & Pacific",0.363723835793011,1,0,1,0,0.121998836539177,1.48,5.37544980985761e-18,0.306330008872659,"1"
"2",1995,"AUT",2.41e+11,"Europe & Central Asia",0.237667078376528,2,2,4,0,0.338736954312236,1.78,0.0991929454966688,0.635267144401524,"2"
"3",1995,"BEL",2.88e+11,"Europe & Central Asia",0.284688249793787,5,2,7,3,0.452664491734025,3.62747252747253,0.0961635596056802,0.832609457328235,"3"
"4",1995,"BGR",18867559524,"Europe & Central Asia",0.0154345770795872,3,0,3,0,0.313041218285095,2.224,0,0.77131939224135,"2"
"5",1995,"CAN",6.04e+11,"North America",0.600830593790681,1,0,1,0,0.0525228680742924,1.3,5.37544980985761e-18,0.104462629288753,"4"
"6",1995,"CYP",9933133247,"Europe & Central Asia",0.00649612623946638,3,1,4,1,0.218245504024426,3.01731707317073,0.0317771199093075,0.469665521863178,"2"
"7",1995,"CZE",59775697061,"Europe & Central Asia",0.0563611419197599,4,2,6,3,0.263830223581115,3.64439024390244,0.0829437062702774,0.485894732965341,"2"
"8",1995,"DEU",2.59e+12,"Europe & Central Asia",2.58772519878382,0,24,24,0,1,1,1,0,"2"
"9",1995,"DNK",1.85e+11,"Europe & Central Asia",0.181641852858091,2,0,2,0,0.189715509332998,2.041,1.07508996197152e-17,0.360267842204558,"5"
"10",1995,"ESP",6.15e+11,"Europe & Central Asia",0.611835548803231,0,2,2,0,0.0916478660034494,1,0.109296346923401,2.41109925744255e-17,"6"
"11",1995,"EST",4497823918,"Europe & Central Asia",0.00105836854447196,4,0,4,0,0.278829584844118,2.875,2.15017992394304e-17,0.524815844450337,"2"
"12",1995,"FIN",1.34e+11,"Europe & Central Asia",0.130618879618086,1,2,3,0,0.208439548171017,1.3,0.0866297882728787,0.328937135528865,"2"
"13",1995,"FRA",1.6e+12,"Europe & Central Asia",1.59727924765431,1,3,4,0,0.289958636520745,1.3,0.157215725182676,0.328937135528865,"3"
"14",1995,"GBR",1.34e+12,"Europe & Central Asia",1.33716212917585,1,7,8,0,0.501791022470463,1.3,0.388271588441875,0.328937135528865,"3"
"15",1995,"GRC",1.37e+11,"Europe & Central Asia",0.133620230985145,2,0,2,0,0.16087923530146,1.69,1.07508996197152e-17,0.373824700146841,"7"
"16",1995,"HUN",46425677734,"Europe & Central Asia",0.0430051090006406,4,0,4,0,0.356659976564898,2.758,2.15017992394304e-17,0.803947635597696,"2"
"17",1995,"IDN",2.02e+11,"East Asia & Pacific",0.198649510604759,2,0,2,0,0.146750268019897,1.78,1.07508996197152e-17,0.335337234057778,"8"
"18",1995,"IND",3.6e+11,"South Asia",0.356720682603206,1,0,1,0,0.121998836539177,1.48,5.37544980985761e-18,0.306330008872659,"9"
